no;en_name;de_name;type
2.3.7;Network Products;Netzwerk-produkte;page
2.3.7.1;111 Musiccenter;111 Musiccenter;page
2.3.7.2;151 Musiccenter;151 Musiccenter;page
2.3.7.3;150 Network Player;150 Network Player;page
2.3.7.4;Loft Style;Loft Style;page
2.3.7.5;Retro Style;Retro Style;page
2.3.7.6;Network Products Content Entry Page;Netzwerk Content Einstieg;page
2.4;Loudspeaker;Lautsprecher;page
2.4.1;B100;B100;page
2.4.2;B80 MK2;B80 MK2;page
2.4.3;BA71;BA71;page
2.4.4;BA31;BA31;page
2.4.5;961 MK3;961 MK3;page
2.4.6;B18;B18;page
2.4.7;B10;B10;page
2.4.8;B28;B28;page
2.4.9;B38;B38;page
2.4.10;S8;S8;page
2.4.11;BC350;BC350;page
2.4.12;InWall Satellit und Center;InWall Satellit und Center;page
2.4.13;InWall Woofer;InWall Woofer;page
2.4.14;Lautsprecher Content Einstieg;Lautsprecher Content Einstieg;page
2.5;Accessories;Zubehör;page
3;Mobile;Mobile;folder
3.1;Headphone 705;Kopfhörer 705;page
3.1.1;Philosophy;Philosophie;page
3.1.2;Technology;Technologie;page
3.1.3;MLP;MLP;page
4;Automotive;Automotive;folder
4.1;Overview;Übersicht;page
4.2;Bugatti;Bugatti;page
4.2.1;Bugatti Content Page;Bugatti Content;page
4.3;Porsche;Porsche;page
4.3.1;911;911;page
4.3.2;718;718;page
4.3.3;918 Spyder;918 Spyder;page
4.3.4;Macan;Macan;page
4.3.5;Panamera;Panamera;page
4.3.6;Cayenne;Cayenne;page
4.3.7;Porsche Content Page;Porsche Content;page
4.4;Mercedes Benz;Mercedes Benz;page
4.4.1;S-Klasse;S-Klasse;page
4.4.2;C-Klasse;C-Klasse;page
4.4.3;E-Klasse;E-Klasse;page
4.4.4;GLC;GLC;page
4.4.5;CLS;CLS;page
4.4.6;A-Klasse;A-Klasse;page
4.4.7;G-Klasse;G-Klasse;page
4.4.8;V-Klasse;V-Klasse;page
4.4.9;MB Content Page;MB Content;page
4.5;Mercedes Maybach;Mercedes Maybach;page
4.5.1;Maybach S-Klasse;Maybach S-Klasse;page
4.5.2;Maybach Pullmann;Maybach Pullmann;page
4.5.3;Maybach Content;Maybach Content;page
4.6;Mercedes AMG;Mercedes AMG;page
4.6.1;AMG GT;AMG GT;page
4.6.2;AMG GT Coupe;AMG GT Coupe;page
4.6.3;AMG Content;AMG Content;page
