no;en_name;de_name;type;template
0;Home;Home;page;TEMP-999-all
0;Home;Home;page;TEMP-01-00
1;Burmester Experience;Das Burmeister Erlebnis;folder;
1.1;Philosophy;Philosophie;page;TEMP-07-02
1.2;Technology;Technologie;page;TEMP-07-03
1.3;Handmade in Germany;Handmade in Germany;page;TEMP-07-00
1.4;Milestones;Meilensteine;page;TEMP-07-00
1.5;Dieter Burmeister;Dieter Burmeister;page;TEMP-07-01
1.6;Social Engagement;Soziales Engagement;page;TEMP-07-00
2;Home Audio;Home Audio;folder;
2.1;Product Lines;Produkt Linien;page;TEMP-03-00
2.1.1;Reference Line;Reference Line;page;TEMP-03-01
2.1.2;Signature Line;Signature Line;page;TEMP-03-01
2.1.3;Top Line;Top Line;page;TEMP-03-01
2.1.4;Classic Line;Classic Line;page;TEMP-03-01
2.1.5;Phase 3;Phase 3;page;TEMP-03-01
2.2;Systems;Systeme;page;TEMP-07-00
2.2.n;System “n”;System “n”;page;TEMP-07-00
2.3;Electronic Components;Electronic Komponents;page;
2.3.1;Preamplifier;Vorverstärker;page;TEMP-04-00
2.3.1.1;77;77;page;TEMP-05-00
2.3.1.2;808 MK5;808 MK5;page;TEMP-05-00
2.3.1.3;88;88;page;TEMP-05-00
2.3.1.4;100;100;page;TEMP-05-00
2.3.1.5;35;35;page;TEMP-05-00
2.3.1.6;99;99;page;TEMP-05-00
2.3.1.7;Preamplifier Content Entry Page;Vorverstärker Contenteinstieg;page;
2.3.1.7.n;Preamplifier Content Page “n”;Vorverstaerker Content “n”;page;TEMP-07-00
2.3.2;Power Amplifier;Endverstaerker;page;TEMP-04-00
2.3.2.1;909 MK5;909 MK5;page;TEMP-05-00
2.3.2.2;911 MK3;911 MK3;page;TEMP-05-00
2.3.2.3;956 MK2;956 MK2;page;TEMP-05-00
2.3.2.4;36;36;page;TEMP-05-00
2.3.2.5;159;159;page;TEMP-05-00
2.3.2.6;Power Amplifier Content Entry Page;Endverstaerker Content Einstieg;page;
2.3.2.6.n;Power Amplifier Content Page “n”;Endverstaerker Content “n”;page;TEMP-07-00
2.3.3;Integrated Amplifier;Vollverstaerker;page;TEMP-04-00
2.3.3.1;32;32;page;TEMP-05-00
2.3.3.2;82;32;page;TEMP-05-00
2.3.3.3;101;101;page;TEMP-05-00
2.3.3.4;Integrated Amplifier Content Entry Page;Vollverstaerker Content Einstieg;page;
2.3.3.4.n;Integrated Amplifier Content Page “n”;Vollverstaerker Content “n”;page;TEMP-07-00
2.3.4;Power Conditioner;Power Conditioner;page;TEMP-04-00
2.3.4.1;4948;4948;page;TEMP-05-00
2.3.4.2;Power Conditioner Content;Power Conditioner Content;page;TEMP-07-00
2.3.5;CD-Player;CD-Player;page;TEMP-04-00
2.3.5.1;69;69;page;TEMP-05-00
2.3.5.2;89;89;page;TEMP-05-00
2.3.5.3;61;61;page;TEMP-05-00
2.3.5.4;102;102;page;TEMP-05-00
2.3.5.5;CD-Player Content Entry Page;CD-Player Content Einstieg;page;
2.3.5.5.n;CD-Player Content Entry Page “n”;CD-Player Content “n”;page;TEMP-07-00
2.3.6;Turntable;Plattenspieler;page;TEMP-04-00
2.3.6.1;Turntable Content Entry Page;Plattenspieler Content Einstieg;page;
2.3.7;Network Products;Netzwerk-produkte;page;TEMP-04-00
2.3.7.1;111 Musiccenter;111 Musiccenter;page;TEMP-05-00
2.3.7.2;151 Musiccenter;151 Musiccenter;page;TEMP-05-00
2.3.7.3;150 Network Player;150 Network Player;page;TEMP-05-00
2.3.7.4;Loft Style;Loft Style;page;TEMP-05-00
2.3.7.5;Retro Style;Retro Style;page;TEMP-05-00
2.3.7.6;Network Products Content Entry Page;Netzwerk Content Einstieg;page;
2.4;Loudspeaker;Lautsprecher;page;TEMP-04-00
2.4.1;B100;B100;page;TEMP-05-00
2.4.2;B80 MK2;B80 MK2;page;TEMP-05-00
2.4.3;BA71;BA71;page;TEMP-05-00
2.4.4;BA31;BA31;page;TEMP-05-00
2.4.5;961 MK3;961 MK3;page;TEMP-05-00
2.4.6;B18;B18;page;TEMP-05-00
2.4.7;B10;B10;page;TEMP-05-00
2.4.8;B28;B28;page;TEMP-05-00
2.4.9;B38;B38;page;TEMP-05-00
2.4.10;S8;S8;page;TEMP-05-00
2.4.11;BC350;BC350;page;TEMP-05-00
2.4.12;InWall Satellit und Center;InWall Satellit und Center;page;TEMP-05-00
2.4.13;InWall Woofer;InWall Woofer;page;TEMP-05-00
2.4.14;Lautsprecher Content Einstieg;Lautsprecher Content Einstieg;page;
2.5;Accessories;Zubehör;page;TEMP-04-00
3;Mobile;Mobile;folder;
3.1;Headphone 705;Kopfhörer 705;page;TEMP-05-00
3.1.1;Philosophy;Philosophie;page;TEMP-07-00
3.1.2;Technology;Technologie;page;TEMP-07-00
3.1.3;MLP;MLP;page;TEMP-02-00
4;Automotive;Automotive;folder;
4.1;Overview;Übersicht;page;TEMP-06-00
4.2;Bugatti;Bugatti;page;TEMP-06-00
4.2.1;Bugatti Content Page;Bugatti Content;page;
4.3;Porsche;Porsche;page;TEMP-06-00
4.3.1;911;911;page;TEMP-07-00
4.3.2;718;718;page;TEMP-07-00
4.3.3;918 Spyder;918 Spyder;page;TEMP-07-00
4.3.4;Macan;Macan;page;TEMP-07-00
4.3.5;Panamera;Panamera;page;TEMP-07-00
4.3.6;Cayenne;Cayenne;page;TEMP-07-00
4.3.7;Porsche Content Page;Porsche Content;page;
4.4;Mercedes Benz;Mercedes Benz;page;TEMP-06-00
4.4.1;S-Klasse;S-Klasse;page;TEMP-07-00
4.4.2;C-Klasse;C-Klasse;page;TEMP-07-00
4.4.3;E-Klasse;E-Klasse;page;TEMP-07-00
4.4.4;GLC;GLC;page;TEMP-07-00
4.4.5;CLS;CLS;page;TEMP-07-00
4.4.6;A-Klasse;A-Klasse;page;TEMP-07-00
4.4.7;G-Klasse;G-Klasse;page;
4.4.8;V-Klasse;V-Klasse;page;
4.4.9;MB Content Page;MB Content;page;
4.5;Mercedes Maybach;Mercedes Maybach;page;TEMP-06-00
4.5.1;Maybach S-Klasse;Maybach S-Klasse;page;TEMP-07-00
4.5.2;Maybach Pullmann;Maybach Pullmann;page;TEMP-07-00
4.5.3;Maybach Content;Maybach Content;page;
4.6;Mercedes AMG;Mercedes AMG;page;TEMP-06-00
4.6.1;AMG GT;AMG GT;page;TEMP-07-00
4.6.2;AMG GT Coupe;AMG GT Coupe;page;TEMP-07-00
4.6.3;AMG Content;AMG Content;page;
100;Footer;Footer;folder;1
100.1;Abount Burmester;Über Burmesters;folder;
100.1.1;News;Aktuelles;page;TEMP-99-00
100.1.2;Jobs;Karriere;page;TEMP-99-00
100.1.3;Service & Downloads;Service & Downloads;page;TEMP-99-00
100.2;Customer Service;Kundenservice;folder;
100.2.1;Storefinder;Storefinder;page;TEMP-11-00
100.2.2;FAQ;FAQ;page;TEMP-99-00
100.2.3;Contact;Kontakt;page;TEMP-10-00
100.3;Guidelines;Richtlinien;folder;
100.3.1;Terms & Conditions;AGB;page;TEMP-99-00
100.3.2;Withdrawal;Widerrufsrecht;page;TEMP-99-00
100.3.3;Shipping & payment;Versand & Zahlung;page;TEMP-99-00
100.4;Newsletter;Newsletter;folder;
100.4.1;Sign up for the newsletter;Zum Newsletter anmelden;page;TEMP-09-00
100.90.1;Terms of service;AGB;pag;TEMP-99-00
100.90.2;Right of rescission;Widerrufsbelehrungen;page;TEMP-99-00
100.90.3;Payment / Shipping;Versand und Zahlung;page;TEMP-99-00
100.90.4;Privacy;Datenschutz;page;TEMP-99-00
100.90.5;Imprint;Impressum;page;TEMP-99-00
100.90.6;404;404;page;TEMP-99-00
